main,address,added,upped,view_count,hearts,lat,lon,Тип предложения,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Газ,Санузел,Балкон,Входная дверь,Парковка,Высота потолков,Безопасность,Правоустанавливающие документы,Телефон,Интернет,Мебель,Возможность рассрочки,Возможность обмена,Разное,Пол,Возможность ипотеки,Площадь участка,Канализация,Питьевая вода,Электричество,usd_price
"2-комн. кв., 43 м2","Бишкек, Московская - Уметалиева/Токтогула/Турусбекова",Добавлено 26 дней назад,Поднято 12 часов назад,323,,42.8735,74.5843,от агента,104 серия,панельный,3 этаж из 4,43 м2,центральное,среднее,,,застекленный балкон,,,2.5 м.,домофон,"договор купли-продажи,                                             технический паспорт,                                             красная книга",,,,,,,,,,,,,77000
"3-комн. кв., 87 м2","Бишкек, Карла Маркса, Медерова 8/1",Добавлено 21 день назад,Поднято 8 часов назад,168,1.0,42.8516,74.6248,от агента,элитка,монолитный,8 этаж из 12,87 м2,центральное,хорошее,,,,,,3 м.,,"договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию,                                             красная книга",,,,,,,,,,,,,116000
"2-комн. кв., 78 м2","Бишкек, Джальская больница, Ахунбаева - Тыналиева",Добавлено 1 месяц назад,Поднято 15 часов назад,250,,42.8454,74.5698,от агента,элитка,"монолитный, 2024 г.",2 этаж из 12,78 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,125000
"1-комн. кв., 41 м2","Бишкек, Гагарина, Тимура Фрунзе/Гагарина",Добавлено 3 месяца назад,Поднято 20 дней назад,498,,42.8516,74.5347,от агента,элитка,"монолитный, 2023 г.",9 этаж из 10,41 м2,на газе,евроремонт,,,,,,3 м.,,"договор долевого участия,                                             красная книга",,,,,,,,,,,,,58000
"2-комн. кв., 49 м2","Бишкек, Магистраль, Куттубаева/Южн. Магистраль",Добавлено 2 месяца назад,Поднято 8 часов назад,291,3.0,42.8113,74.6221,от агента,элитка,"монолитный, 2023 г.",9 этаж из 10,49 м2,на газе,евроремонт,магистральный,,,бронированная,,3 м.,,договор долевого участия,,,полностью меблирована,,,,,,,,,,88500
"3-комн. кв., 73 м2","Бишкек, Пишпек ж/м,  ул. Льва Толстого - Крылова",Добавлено 15 дней назад,Поднято 10 часов назад,132,,42.8636,74.5442,от агента,элитка,"монолитный, 2024 г.",5 этаж из 14,73 м2,на газе,под самоотделку (псо),,раздельный,лоджия,,,,,красная книга,,,,нет,обмен не предлагать,,,нет,,,,,64240
"1-комн. кв., 32 м2","Бишкек, Карпинка",Добавлено 5 месяцев назад,Поднято 7 часов назад,1155,3.0,42.879,74.623,от агента,104 серия,панельный,1 этаж из 5,32 м2,центральное,хорошее,,совмещенный,нет,бронированная,,,,,,,,,,,,,,,,,58500
"2-комн. кв., 43 м2","Бишкек, 10 м-н",Добавлено 2 месяца назад,Поднято 5 дней назад,389,1.0,42.8318,74.6064,от собственника,104 серия,монолитный,4 этаж из 4,43 м2,центральное,евроремонт,,,лоджия,,,,,,,,полностью меблирована,,,,,,,,,,83000
"2-комн. кв., 66 м2","Бишкек, Гагарина, Репина 159/Ахунбаева",Добавлено 2 месяца назад,Поднято 18 часов назад,307,5.0,42.849,74.5508,от агента,элитка,"кирпичный, 2024 г.",1 этаж из 10,"66 м2, кухня: 16 м2",автономное,под самоотделку (псо),,,,,,,охрана,"договор долевого участия,                                             красная книга",,,,,,"пластиковые окна,                                             удобно под бизнес",,,,,,,62700
"1-комн. кв., 53 м2","Бишкек, Горького - Алма-Атинская, Горького-7-апреля",Добавлено 2 месяца назад,Поднято 5 часов назад,339,1.0,42.8648,74.6349,от агента,элитка,"монолитный, 2023 г.",8 этаж из 9,53 м2,автономное,под самоотделку (псо),,,,,,,,"договор долевого участия,                                             красная книга",,,,,,неугловая,,,,,,,52700
"2-комн. кв., 50 м2","Бишкек, Восток-5 м-н",Добавлено 5 месяцев назад,Поднято 4 часа назад,1343,4.0,42.8723,74.6342,от агента,105 серия,панельный,5 этаж из 5,50 м2,центральное,хорошее,,раздельный,,,,2.8 м.,,технический паспорт,,,,,,,,,,,,,69000
"1-комн. кв., 38 м2","Бишкек, Политех, Ажыбек-Баатыра 7",Добавлено 11 дней назад,Поднято 8 часов назад,151,1.0,42.8409,74.5816,от агента,элитка,"монолитный, 2018 г.",3 этаж из 12,38 м2,центральное,евроремонт,,,,,,3 м.,видеодомофон,,,,,,,,,,,,,,76500
"1-комн. кв., 38 м2","Бишкек, Пишпек ж/м, Репина/М. Алыбаева",Добавлено 1 месяц назад,Поднято 8 часов назад,234,1.0,42.8635,74.55,от агента,элитка,"монолитный, 2022 г.",3 этаж из 12,38 м2,на газе,под самоотделку (псо),,,,,,3 м.,,договор долевого участия,,,,,,,,,,,,,44000
"2-комн. кв., 63 м2","Бишкек, Политех, Чынгыза Айтматова 71",Добавлено 12 дней назад,Поднято 9 часов назад,129,1.0,42.8405,74.5854,от агента,хрущевка,кирпичный,3 этаж из 3,"63 м2, жилая: 60 м2, кухня: 6 м2",центральное,среднее,магистральный,совмещенный,балкон,бронированная,,2.55 м.,,,,,,нет,,,,,,,,,68000
"4-комн. кв., 137 м2","Бишкек, Магистраль, Байтик Баатыра/Токомбаева",Добавлено 4 месяца назад,Поднято 20 дней назад,397,,42.818,74.6088,от агента,элитка,"монолитный, 2024 г.",6 этаж из 16,137 м2,на газе,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,165000
"1-комн. кв., 47 м2","Бишкек, 8 м-н",Добавлено 2 месяца назад,Поднято 8 часов назад,350,,42.8338,74.6082,от агента,индивид. планировка,кирпичный,5 этаж из 5,47 м2,центральное,среднее,магистральный,совмещенный,балкон,бронированная,,,домофон,"договор купли-продажи,                                             технический паспорт",,проводной,частично меблирована,,,пластиковые окна,дерево,,,,,,60000
"1-комн. кв., 36 м2","Бишкек, Джал-23 м-н (Нижний Джал) 98",Добавлено 7 месяцев назад,Поднято 14 часов назад,942,1.0,42.8432,74.5672,от агента,105 серия,панельный,1 этаж из 9,36 м2,,среднее,,,,,,,,,,,,,,,,,,,,,62800
"3-комн. кв., 125 м2","Бишкек, Магистраль, Токомбаева 29/5",Добавлено 10 дней назад,,92,,42.8239,74.6134,от агента,элитка,"монолитный, 2017 г.",10 этаж из 12,"125 м2, жилая: 85 м2, кухня: 20 м2",электрическое,евроремонт,нет,раздельный,балкон,бронированная,рядом охраняемая стоянка,3 м.,"видеодомофон,                                             сигнализация,                                             кодовый замок,                                             видеонаблюдение","договор купли-продажи,                                             технический паспорт",возможно подключение,проводной,полностью меблирована,,,"комнаты изолированы,                                             пластиковые окна",ламинат,,,,,,200000
"2-комн. кв., 92 м2","Бишкек, Магистраль, с. Орто-Сай, контур 13",Добавлено 6 дней назад,Поднято 7 часов назад,76,,42.8134,74.599,от агента,элитка,"монолитный, 2025 г.",3 этаж из 8,92 м2,на газе,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,110000
"3-комн. кв., 95 м2","Бишкек, ЖД вокзал, Чуйкова / Панфилова",Добавлено 2 месяца назад,Поднято 7 дней назад,449,1.0,42.8663,74.601,от собственника,элитка,"кирпичный, 2023 г.",11 этаж из 12,"95 м2, жилая: 79.8 м2, кухня: 15 м2",центральное,евроремонт,,2 с/у и более,лоджия,бронированная,,3 м.,,,,,,есть,,,,есть,,,,,170000
"2-комн. кв., 52 м2","Бишкек, Джал-29 м-н, Садырбаева 258а",Добавлено 4 месяца назад,Поднято 17 часов назад,1081,6.0,42.8306,74.5657,от агента,элитка,"монолитный, 2023 г.",2 этаж из 12,52 м2,центральное,евроремонт,,,,бронированная,паркинг,3 м.,,"договор купли-продажи,                                             красная книга",,,частично меблирована,,,,паркет,,,,,,78000
"1-комн. кв., 44 м2","Бишкек, с. Кок-Джар, мкр. Кок Жар",Добавлено 3 месяца назад,Поднято 6 часов назад,574,3.0,42.8208,74.6495,от агента,элитка,"монолитный, 2023 г.",12 этаж из 14,44 м2,,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,48500
"1-комн. кв., 49.19 м2","Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",Добавлено 1 месяц назад,Поднято 8 часов назад,194,1.0,42.8516,74.6152,от агента,элитка,"монолитный, 2025 г.",12 этаж из 17,49.19 м2,,под самоотделку (псо),,,,,,,,договор долевого участия,,,,,,,,,,,,,67000
"1-комн. кв., 48 м2","Бишкек, Магистраль, Куттубаева, 19",Добавлено 2 месяца назад,Поднято 10 часов назад,214,,42.8149,74.6224,от агента,индивид. планировка,"монолитный, 2025 г.",4 этаж из 12,"48 м2, жилая: 22 м2",,,,,,,,3.3 м.,,,,,,,,,,есть,,,,,89000
"3-комн. кв., 158 м2","Бишкек, Золотой квадрат, Боконбаева 115/Раззакова",Добавлено 1 месяц назад,Поднято 11 часов назад,411,,42.8675,74.6027,от агента,элитка,"монолитный, 2015 г.",5 этаж из 9,158 м2,центральное,евроремонт,магистральный,совмещенный,балкон,бронированная,паркинг,3.2 м.,охрана,,возможно подключение,проводной,полностью меблирована,,с доплатой покупателя,"комнаты изолированы,                                             неугловая,                                             кондиционер,                                             новая сантехника,                                             кухня-студия,                                             улучшенная,                                             пластиковые окна,                                             тихий двор,                                             удобно под бизнес",паркет,,,,,,474000
"3-комн. кв., 71 м2","Бишкек, Академия МВД, Л.Толстого/Ч.Валиханова",Добавлено 4 месяца назад,Поднято 15 часов назад,612,2.0,42.8687,74.678,от агента,элитка,"кирпичный, 2024 г.",11 этаж из 12,71 м2,на газе,под самоотделку (псо),,,,,,,,"договор долевого участия,                                             красная книга",,,,,обмен не предлагать,,,,,,,,68000
"2-комн. кв., 77.5 м2","Бишкек, Дворец спорта, Коенкозова 119",Добавлено 2 месяца назад,Поднято 9 часов назад,294,,42.8824,74.5941,от агента,элитка,"кирпичный, 2024 г.",10 этаж из 12,77.5 м2,на газе,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,104625
"2-комн. кв., 77.05 м2","Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",Добавлено 1 месяц назад,Поднято 5 часов назад,254,3.0,42.8181,74.6044,от агента,элитка,"монолитный, 2024 г.",12 этаж из 15,77.05 м2,на газе,под самоотделку (псо),,,,,,3.1 м.,,договор долевого участия,,,,,,,,,,,,,88500
"3-комн. кв., 58 м2","Бишкек, 4 м-н",Добавлено 2 месяца назад,Поднято 13 часов назад,226,,42.8394,74.6258,от агента,104 серия,панельный,4 этаж из 4,58 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,91000
"3-комн. кв., 106 м2","Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",Добавлено 3 дня назад,Поднято 15 часов назад,81,,42.8181,74.6031,от агента,элитка,"монолитный, 2021 г.",4 этаж из 12,106 м2,центральное,под самоотделку (псо),,раздельный,,,,3 м.,,"договор долевого участия,                                             красная книга",,,,,,"пластиковые окна,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,,,,,104000
"2-комн. кв., 60 м2","Бишкек, Алтын-Ордо ж/м, гагарина 40",Добавлено 5 месяцев назад,Поднято 17 часов назад,1165,1.0,42.8465,74.6702,от агента,индивид. планировка,монолитный,3 этаж из 5,60 м2,на газе,евроремонт,,,лоджия,металлическая,паркинг,280 м.,домофон,технический паспорт,есть,,полностью меблирована,,,"пластиковые окна,                                             кухня-студия,                                             новая сантехника,                                             встроенная кухня,                                             тихий двор",паркет,,,,,,75000
"2-комн. кв., 83 м2","Бишкек, Чуй - Алматинка, Уркуи Салиевой 140",Добавлено 2 месяца назад,Поднято 8 часов назад,302,,42.8835,74.6418,от агента,элитка,"монолитный, 2024 г.",2 этаж из 9,83 м2,автономное,под самоотделку (псо),,,,,,,,договор долевого участия,,,,,рассмотрю варианты,,,,,,,,91300
"3-комн. кв., 104 м2","Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",Добавлено 3 месяца назад,Поднято 20 дней назад,396,3.0,42.8171,74.617,от агента,элитка,"монолитный, 2022 г.",11 этаж из 12,104 м2,на газе,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,110100
"2-комн. кв., 44 м2","Бишкек, Бишкек-Парк, Табышалиева 55",Добавлено 1 месяц назад,Поднято 6 дней назад,595,4.0,42.8747,74.5869,от собственника,сталинка,кирпичный,2 этаж из 3,"44 м2, кухня: 7 м2",центральное,евроремонт,,,,,,,,,,,,нет,,,,есть,,,,,89000
"4-комн. кв., 222 м2","Бишкек, Золотой квадрат/мосуовская",Добавлено 1 год назад,Поднято 12 часов назад,5007,10.0,42.871,74.605,от агента,элитка,"кирпичный, 2007 г.",5 этаж из 8,222 м2,центральное,хорошее,магистральный,2 с/у и более,застекленный балкон,нет,паркинг,3 м.,"видеодомофон,                                             домофон",договор купли-продажи,нет,проводной,частично меблирована,,,"неугловая,                                             комнаты изолированы",паркет,,,,,,450000
"3-комн. кв., 98 м2","Бишкек, Джал 15 м-н, мкр. Джал, ул. Поваринская 21",Добавлено 1 месяц назад,Поднято 6 дней назад,152,2.0,42.8468,74.5673,от агента,элитка,"монолитный, 2023 г.",4 этаж из 8,"98 м2, жилая: 98 м2, кухня: 25 м2",центральное,под самоотделку (псо),магистральный,раздельный,застекленный балкон,бронированная,рядом охраняемая стоянка,3 м.,"видеонаблюдение,                                             домофон",договор долевого участия,есть,проводной,пустая,,,,,,,,,,98000
"1-комн. кв., 38 м2","Бишкек, Горького - Алма-Атинская, Горького-7-апреля 7",Добавлено 15 дней назад,,151,2.0,42.8579,74.6414,от собственника,108 серия,"панельный, 2024 г.",2 этаж из 9,38 м2,смешанное,евроремонт,магистральный,совмещенный,балкон,бронированная,паркинг,3 м.,"видеодомофон,                                             видеонаблюдение",договор долевого участия,возможно подключение,оптика,частично меблирована,,обмен не предлагать,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",плитка,есть,,,,,56000
"1-комн. кв., 53 м2","Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",Добавлено 5 месяцев назад,Поднято 9 часов назад,735,1.0,42.8181,74.6031,от агента,элитка,"монолитный, 2021 г.",8 этаж из 12,53 м2,центральное,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,76000
"2-комн. кв., 53 м2","Бишкек, Горького - Алма-Атинская, 7 апреля 1а",Добавлено 1 месяц назад,,353,,42.8593,74.6339,от собственника,элитка,"монолитный, 2026 г.",16 этаж из 16,53 м2,,под самоотделку (псо),,,,,,,,"договор долевого участия,                                             красная книга",,,,,,,,,,,,,58300
"3-комн. кв., 79.43 м2","Бишкек, Магистраль, Жукеева-Пудовкина/Аалы Токомбаева",Добавлено 2 месяца назад,Поднято 15 часов назад,339,,42.8253,74.6117,от агента,элитка,"монолитный, 2025 г.",12 этаж из 16,79.43 м2,на газе,не достроено,,,,,,3.3 м.,"видеодомофон,                                             охрана,                                             видеонаблюдение",,,,,,,,,,,,,,110000
"1-комн. кв., 46 м2","Бишкек, Восток-5 м-н",Добавлено 1 месяц назад,Поднято 5 часов назад,231,2.0,42.8718,74.6314,от агента,элитка,кирпичный,9 этаж из 9,46 м2,на газе,евроремонт,,,,,,,,договор долевого участия,,,,,,,,,,,,,67000
"3-комн. кв., 137 м2","Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",Добавлено 8 часов назад,Поднято 4 часа назад,37,,42.8398,74.583,от агента,элитка,"монолитный, 2024 г.",14 этаж из 16,137 м2,центральное,под самоотделку (псо),магистральный,раздельный,лоджия,бронированная,,3.1 м.,"охрана,                                             видеонаблюдение","договор долевого участия,                                             красная книга",,,,,,"пластиковые окна,                                             кухня-студия,                                             тихий двор",,,,,,,165000
"1-комн. кв., 33 м2","Бишкек, Мед. академия, Суеркулова, 7а",Добавлено 7 месяцев назад,Поднято 12 часов назад,693,2.0,42.8388,74.6033,от агента,хрущевка,"кирпичный, 1965 г.",1 этаж из 4,"33 м2, жилая: 17.8 м2",,,,,,,,2.5 м.,,,,,,,,,,есть,,,,,55000
"2-комн. кв., 44 м2","Бишкек, VEFA",Добавлено 4 месяца назад,Поднято 20 дней назад,964,7.0,42.8569,74.6118,от агента,104 серия,кирпичный,5 этаж из 5,44 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,63000
"3-комн. кв., 100 м2","Бишкек, Магистраль, Байтик Баатыра/Южная Магистраль",Добавлено 4 месяца назад,Поднято 16 часов назад,653,5.0,42.8224,74.611,от агента,элитка,"монолитный, 2022 г.",10 этаж из 14,100 м2,автономное,евроремонт,,,,,,3.3 м.,,,,,,,,,,,,,,,210000
"3-комн. кв., 110 м2","Бишкек, Лебединовка, Ленина/Кузнечная",Добавлено 3 месяца назад,Поднято 1 месяц назад,492,1.0,42.8818,74.6824,от собственника,элитка,"кирпичный, 2025 г.",3 этаж из 9,110 м2,автономное,под самоотделку (псо),автономный,раздельный,балкон,бронированная,паркинг,3 м.,,договор долевого участия,возможно подключение,,,,,,,,,,,,137500
"2-комн. кв., 80 м2","Бишкек, Горького - Алма-Атинская,  ул.7-Апреля/ Горького (р/н ТРЦ «Технопарк»)",Добавлено 2 месяца назад,Поднято 13 часов назад,237,,42.8581,74.6339,от агента,элитка,"монолитный, 2025 г.",4 этаж из 16,80 м2,,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,96000
"3-комн. кв., 93 м2","Бишкек, Мадина,  ул. 7 апреля",Добавлено 2 месяца назад,Поднято 15 часов назад,410,5.0,42.8689,74.6377,от агента,элитка,"монолитный, 2022 г.",13 этаж из 16,93 м2,центральное,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,120000
"1-комн. кв., 35 м2","Бишкек, Юг-2 м-н",Добавлено 14 дней назад,Поднято 12 часов назад,135,1.0,42.859,74.6086,от агента,106 серия,панельный,6 этаж из 9,"35 м2, жилая: 18 м2, кухня: 7 м2",центральное,хорошее,нет,совмещенный,лоджия,бронированная,рядом охраняемая стоянка,,домофон,"договор купли-продажи,                                             технический паспорт",возможно подключение,проводной,частично меблирована,,обмен не предлагать,"пластиковые окна,                                             новая сантехника,                                             неугловая,                                             встроенная кухня,                                             тихий двор,                                             кладовка,                                             удобно под бизнес",линолеум,,,,,,64500
"3-комн. кв., 60 м2","Бишкек, Юг-2 м-н, Юг-2 микрорайон, 4",Добавлено 1 месяц назад,Поднято 10 часов назад,229,,42.8607,74.6071,от агента,106 серия,"панельный, 1980 г.",4 этаж из 9,"60 м2, жилая: 39.5 м2",,,,,,,,2.85 м.,,,,,,,,,,есть,,,,,121500
"1-комн. кв., 32 м2","Бишкек, Аламедин-1 м-н",Добавлено 2 месяца назад,Поднято 1 час назад,486,3.0,42.8796,74.6885,от агента,индивид. планировка,кирпичный,5 этаж из 5,32 м2,,хорошее,,,,,,,,,,,,,,,,,,,,,50000
"2-комн. кв., 43 м2","Бишкек, Душанбинка",Добавлено 13 дней назад,Поднято 15 часов назад,118,1.0,42.8491,74.5922,от агента,104 серия,панельный,2 этаж из 5,43 м2,центральное,среднее,,,,,,,,,,,,,,,,,,,,,68500
"2-комн. кв., 72 м2","Бишкек, Пишпек ж/м,  ул. Льва Толстого - Крылова",Добавлено 2 месяца назад,Поднято 5 часов назад,440,2.0,42.8636,74.5442,от агента,элитка,"монолитный, 2024 г.",5 этаж из 14,72 м2,центральное,под самоотделку (псо),,раздельный,,,,,видеонаблюдение,"договор долевого участия,                                             красная книга",,,,,,комнаты изолированы,,,,,,,64800
"2-комн. кв., 72 м2","Бишкек, Магистраль, Куттубаева/Южн. Магистраль",Добавлено 4 дня назад,Поднято 7 часов назад,65,1.0,42.8113,74.6221,от агента,элитка,"монолитный, 2023 г.",8 этаж из 14,72 м2,,под самоотделку (псо),,,балкон,,,3 м.,,,есть,adsl,,,,,,,,,,,88000
"6 и более комнат кв., 250 м2","Бишкек, Арча-Бешик ж/м",Добавлено 3 месяца назад,Поднято 20 дней назад,335,,42.8222,74.5422,от агента,элитка,"кирпичный, 2024 г.",1 этаж из 3,250 м2,на газе,под самоотделку (псо),автономный,2 с/у и более,нет,металлическая,рядом охраняемая стоянка,,видеонаблюдение,,возможно подключение,проводной,пустая,,,,,,,,,,275000
"1-комн. кв., 44 м2","Бишкек, Мадина,  ул. 7 апреля",Добавлено 18 дней назад,Поднято 5 часов назад,138,,42.8689,74.6377,от агента,элитка,"монолитный, 2022 г.",11 этаж из 16,44 м2,центральное,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,68000
"4-комн. кв., 120 м2","Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",Добавлено 19 дней назад,Поднято 8 часов назад,172,2.0,42.8167,74.6245,от агента,элитка,"монолитный, 2025 г.",10 этаж из 14,120 м2,центральное,под самоотделку (псо),,,,,,,"видеодомофон,                                             охрана,                                             видеонаблюдение",договор долевого участия,,,,,,тихий двор,,,,,,,170400
"3-комн. кв., 99 м2","Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",Добавлено 5 месяцев назад,Поднято 4 часа назад,1176,2.0,42.8215,74.6054,от агента,элитка,монолитный,21 этаж из 25,99 м2,автономное,под самоотделку (псо),магистральный,2 с/у и более,лоджия,бронированная,паркинг,3.3 м.,"охрана,                                             видеонаблюдение",,возможно подключение,,пустая,,,,,,,,,,118800
"1-комн. кв., 37 м2","Бишкек, Чокана Валиханова - Исакеева",Добавлено 2 месяца назад,Поднято 15 часов назад,328,1.0,42.8666,74.6747,от агента,элитка,кирпичный,3 этаж из 5,37 м2,,хорошее,,,,,,,,,,,,,,,,,,,,,55000
"2-комн. кв., 57 м2","Бишкек, Сквер Тоголок Молдо, Коенкозова/Чуйкова",Добавлено 4 месяца назад,Поднято 7 часов назад,704,1.0,42.8656,74.5939,от агента,элитка,"монолитный, 2020 г.",2 этаж из 10,57 м2,центральное,хорошее,,совмещенный,,бронированная,,3 м.,,"договор купли-продажи,                                             технический паспорт",,,полностью меблирована,нет,обмен не предлагать,"кухня-студия,                                             неугловая,                                             тихий двор",,,,,,,104000
"2-комн. кв., 67 м2","Бишкек, АЮ Grand, мкр. Тунгуч",Добавлено 5 часов назад,,31,,42.8548,74.6766,от собственника,элитка,"монолитный, 2023 г.",7 этаж из 13,67 м2,центральное,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,75000
"3-комн. кв., 105 м2","Бишкек, Московская - Белинка",Добавлено 1 месяц назад,Поднято 6 дней назад,224,,42.8685,74.5844,от агента,элитка,"кирпичный, 2020 г.",6 этаж из 10,105 м2,,евроремонт,магистральный,раздельный,лоджия,бронированная,паркинг,3 м.,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",,возможно подключение,проводной,частично меблирована,,,,ламинат,,,,,,185000
"2-комн. кв., 52 м2","Бишкек, Достук м-н, Достук микрорайон 8в",Добавлено 3 месяца назад,Поднято 17 часов назад,630,2.0,42.8876,74.532,от агента,индивид. планировка,"панельный, 1987 г.",2 этаж из 3,"52 м2, кухня: 10 м2",электрическое,хорошее,,раздельный,лоджия,,,,,"договор купли-продажи,                                             технический паспорт",,,частично меблирована,нет,обмен не предлагать,,,нет,,,,,63000
"4-комн. кв., 130 м2","Бишкек, 12 м-н",Добавлено 2 месяца назад,Поднято 6 часов назад,341,1.0,42.8132,74.6375,от агента,элитка,кирпичный,7 этаж из 10,130 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,255000
"3-комн. кв., 150 м2","Бишкек, Магистраль",Добавлено 2 месяца назад,Поднято 5 часов назад,345,4.0,42.8298,74.5766,от агента,элитка,монолитный,7 этаж из 12,150 м2,,под самоотделку (псо),магистральный,раздельный,,бронированная,,,"видеодомофон,                                             охрана,                                             видеонаблюдение",договор долевого участия,,проводной,,,,"комнаты изолированы,                                             тихий двор",,,,,,,135000
"3-комн. кв., 94 м2","Бишкек, Молодая Гвардия, Рыскулова 95а",Добавлено 1 месяц назад,Поднято 4 часа назад,339,2.0,42.88,74.5746,от агента,элитка,"монолитный, 2018 г.",6 этаж из 12,94 м2,центральное,евроремонт,магистральный,раздельный,,бронированная,,3 м.,"домофон,                                             видеонаблюдение","технический паспорт,                                             красная книга",,,полностью меблирована,,,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,130000
"3-комн. кв., 62 м2","Бишкек, Джал-23 м-н (Нижний Джал)",Добавлено 5 дней назад,Поднято 8 часов назад,110,,42.8406,74.5658,от агента,105 серия,панельный,7 этаж из 9,62 м2,центральное,хорошее,,,,,,,,технический паспорт,,,,,,,,,,,,,105500
"3-комн. кв., 73 м2","Бишкек, Ошский рынок",Добавлено 1 день назад,Поднято 15 часов назад,49,,42.8747,74.5706,от агента,индивид. планировка,кирпичный,3 этаж из 3,73 м2,центральное,хорошее,магистральный,раздельный,,металлическая,,,,,нет,,частично меблирована,нет,,,,нет,,,,,82500
"2-комн. кв., 52 м2","Бишкек, Тунгуч м-н",Добавлено 17 дней назад,Поднято 9 часов назад,141,,42.853,74.6883,от агента,106 серия,панельный,6 этаж из 9,52 м2,центральное,среднее,,,,,,,,,,,,,,,,,,,,,74500
"2-комн. кв., 110 м2","Бишкек, Магистраль, Сухэ-Батора/Токомбаева",Добавлено 2 месяца назад,Поднято 7 часов назад,445,,42.8181,74.6164,от агента,элитка,"монолитный, 2021 г.",2 этаж из 8,110 м2,центральное,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,148000
"3-комн. кв., 113 м2","Бишкек, Джал-23 м-н (Нижний Джал)",Добавлено 2 дня назад,Поднято 8 часов назад,82,,42.8428,74.5655,от агента,элитка,кирпичный,3 этаж из 12,113 м2,центральное,под самоотделку (псо),,,,,,,,технический паспорт,,,,,,,,,,,,,136000
"1-комн. кв., 38 м2","Бишкек, Золотой квадрат",Добавлено 2 месяца назад,Поднято 8 часов назад,1082,10.0,42.8744,74.6055,от агента,элитка,"монолитный, 2024 г.",12 этаж из 14,38 м2,центральное,под самоотделку (псо),,,,,,,,договор долевого участия,,,,нет,,,,нет,,,,,53200
"1-комн. кв., 40 м2","Бишкек, Ак Кеме, пр. Ч.Айтматова 97/3 пер. Южная магистраль",Добавлено 4 месяца назад,Поднято 20 дней назад,1129,6.0,42.8312,74.5835,от агента,элитка,"монолитный, 2023 г.",10 этаж из 10,40 м2,электрическое,хорошее,,,,,,,,,,,,,,,,,,,,,56000
"1-комн. кв., 39 м2","Бишкек, с. Кок-Джар",Добавлено 2 месяца назад,Поднято 13 часов назад,428,3.0,42.8184,74.6463,от агента,элитка,кирпичный,4 этаж из 10,39 м2,на газе,евроремонт,,,,,,,,,,,,,,,,,,,,,53000
"1-комн. кв., 34 м2","Бишкек, Городок энергетиков",Добавлено 25 дней назад,Поднято 8 часов назад,174,,42.8769,74.6914,от агента,индивид. планировка,кирпичный,4 этаж из 5,34 м2,центральное,среднее,,,,,,,,,,,,,,,,,,,,,55000
"2-комн. кв., 85 м2","Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",Добавлено 1 месяц назад,Поднято 12 часов назад,270,,42.8181,74.6044,от агента,элитка,"монолитный, 2024 г.",12 этаж из 12,85 м2,на газе,под самоотделку (псо),,,,,,3.1 м.,,"договор долевого участия,                                             красная книга",,,,,,,,,,,,,97750
"1-комн. кв., 27 м2","Бишкек, Горького - Алма-Атинская, Анкара 3/4",Добавлено 14 дней назад,Поднято 4 часа назад,486,,42.8564,74.6424,от агента,108 серия,"панельный, 2025 г.",4 этаж из 10,27 м2,,среднее,,,,,,,,договор долевого участия,есть,проводной,,,,,,,,,,,38000
